name,implementation,time
2mm,noarr,0.419953
2mm,baseline,0.463175
2mm,noarr,0.424745
2mm,baseline,0.468083
2mm,noarr,0.418910
2mm,baseline,0.461310
2mm,noarr,0.420044
2mm,baseline,0.462996
2mm,noarr,0.424438
2mm,baseline,0.465575
2mm,noarr,0.419324
2mm,baseline,0.471636
2mm,noarr,0.427071
2mm,baseline,0.459225
2mm,noarr,0.425423
2mm,baseline,0.462538
2mm,noarr,0.414999
2mm,baseline,0.465164
2mm,noarr,0.418826
2mm,baseline,0.465601
heat-3d,noarr,5.997974
heat-3d,baseline,5.099284
heat-3d,noarr,5.375523
heat-3d,baseline,5.656684
heat-3d,noarr,5.863546
heat-3d,baseline,5.134473
heat-3d,noarr,5.649262
heat-3d,baseline,5.704151
heat-3d,noarr,5.861221
heat-3d,baseline,5.228244
heat-3d,noarr,4.951705
heat-3d,baseline,6.019170
heat-3d,noarr,5.073060
heat-3d,baseline,5.479442
heat-3d,noarr,6.330082
heat-3d,baseline,5.454578
heat-3d,noarr,5.969173
heat-3d,baseline,5.313977
heat-3d,noarr,5.949128
heat-3d,baseline,5.392957
covariance,noarr,0.473172
covariance,baseline,0.456138
covariance,noarr,0.481681
covariance,baseline,0.450538
covariance,noarr,0.471065
covariance,baseline,0.464263
covariance,noarr,0.470842
covariance,baseline,0.461316
covariance,noarr,0.475282
covariance,baseline,0.457695
covariance,noarr,0.474200
covariance,baseline,0.461762
covariance,noarr,0.472274
covariance,baseline,0.460293
covariance,noarr,0.463852
covariance,baseline,0.452132
covariance,noarr,0.475442
covariance,baseline,0.468627
covariance,noarr,0.477616
covariance,baseline,0.453868
syr2k,noarr,0.470852
syr2k,baseline,0.456834
syr2k,noarr,0.467372
syr2k,baseline,0.467369
syr2k,noarr,0.483608
syr2k,baseline,0.481917
syr2k,noarr,0.473212
syr2k,baseline,0.473025
syr2k,noarr,0.465252
syr2k,baseline,0.478339
syr2k,noarr,0.426743
syr2k,baseline,0.468746
syr2k,noarr,0.444126
syr2k,baseline,0.482611
syr2k,noarr,0.441637
syr2k,baseline,0.463396
syr2k,noarr,0.453105
syr2k,baseline,0.478374
syr2k,noarr,0.457166
syr2k,baseline,0.447318
